Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\vehicles\slingshot-p01.blend"
Fra:1 Mem:33.11M (Peak 33.11M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | vent_vane_right.002
Fra:1 Mem:33.12M (Peak 33.12M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | seat_trim_driver
Fra:1 Mem:33.13M (Peak 33.13M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lights_signals_right
Fra:1 Mem:33.15M (Peak 33.15M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | sculpted_sill_right
Fra:1 Mem:33.16M (Peak 33.16M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | roll_hoop_driver
Fra:1 Mem:33.17M (Peak 33.17M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_side_scoop_right
Fra:1 Mem:33.20M (Peak 33.20M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | roll_hoop_inner_driver
Fra:1 Mem:33.19M (Peak 33.20M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | tail_shoulder_right
Fra:1 Mem:33.20M (Peak 33.20M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_A_arm_right
Fra:1 Mem:33.21M (Peak 33.21M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_A_arm_right.001
Fra:1 Mem:33.22M (Peak 33.22M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_A_arm_right.003
Fra:1 Mem:33.24M (Peak 33.24M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | mirror_stalk_driver
Fra:1 Mem:33.22M (Peak 33.24M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_damper_right
Fra:1 Mem:33.22M (Peak 33.24M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_bucket_undertray_right
Fra:1 Mem:33.23M (Peak 33.24M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_tail_lamp_bed_right
Fra:1 Mem:33.24M (Peak 33.24M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | center_grille
Fra:1 Mem:33.25M (Peak 33.25M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | grille_horizontal
Fra:1 Mem:33.25M (Peak 33.25M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | grille_horizontal.001
